cell_id,expected_count,forecast_start_days,horizon_days,lat_center,lon_center,probability_at_least_one,rate_per_year,threshold
cell_00_05,8.836634,18941.366,0.0821,20.5,93.5,0.999855,39295.792336,4.5
cell_00_06,9.123087,18941.366,0.0821,20.5,94.5,0.999891,40569.624757,4.5
cell_00_07,7.029155,18941.366,0.0821,20.5,95.5,0.999114,31258.081522,4.5
cell_01_00,4.077072,18941.366,0.0821,21.5,88.5,0.983043,18130.40865,4.5
cell_01_01,6.386773,18941.366,0.0821,21.5,89.5,0.998316,28401.462281,4.5
cell_01_02,5.926999,18941.366,0.0821,21.5,90.5,0.997334,26356.884679,4.5
cell_01_03,8.742825,18941.366,0.0821,21.5,91.5,0.99984,38878.631859,4.5
cell_01_04,14.815016,18941.366,0.0821,21.5,92.5,1.0,65881.17227,4.5
cell_01_05,16.87221,18941.366,0.0821,21.5,93.5,1.0,75029.345982,4.5
cell_01_06,15.181613,18941.366,0.0821,21.5,94.5,1.0,67511.399605,4.5
cell_01_07,9.045469,18941.366,0.0821,21.5,95.5,0.999882,40224.467843,4.5
cell_02_00,5.024585,18941.366,0.0821,22.5,88.5,0.993426,22343.919985,4.5
cell_02_01,6.737743,18941.366,0.0821,22.5,89.5,0.998815,29962.197061,4.5
cell_02_02,8.18167,18941.366,0.0821,22.5,90.5,0.99972,36383.223793,4.5
cell_02_03,13.3213,18941.366,0.0821,22.5,91.5,0.999998,59238.740905,4.5
cell_02_04,19.363391,18941.366,0.0821,22.5,92.5,1.0,86107.427828,4.5
cell_02_05,19.337513,18941.366,0.0821,22.5,93.5,1.0,85992.350098,4.5
cell_02_06,16.940259,18941.366,0.0821,22.5,94.5,1.0,75331.955304,4.5
cell_02_07,10.710187,18941.366,0.0821,22.5,95.5,0.999978,47627.333272,4.5
cell_03_00,5.917314,18941.366,0.0821,23.5,88.5,0.997308,26313.814014,4.5
cell_03_01,7.744619,18941.366,0.0821,23.5,89.5,0.999567,34439.69049,4.5
cell_03_02,11.314088,18941.366,0.0821,23.5,90.5,0.999988,50312.831827,4.5
cell_03_03,16.042123,18941.366,0.0821,23.5,91.5,1.0,71338.01927,4.5
cell_03_04,17.512274,18941.366,0.0821,23.5,92.5,1.0,77875.657773,4.5
cell_03_05,15.9576,18941.366,0.0821,23.5,93.5,1.0,70962.152303,4.5
cell_03_06,14.905696,18941.366,0.0821,23.5,94.5,1.0,66284.420859,4.5
cell_03_07,10.428999,18941.366,0.0821,23.5,95.5,0.99997,46376.912745,4.5
cell_04_00,5.533887,18941.366,0.0821,24.5,88.5,0.996049,24608.745307,4.5
cell_04_01,9.457707,18941.366,0.0821,24.5,89.5,0.999922,42057.654389,4.5
cell_04_02,14.3665,18941.366,0.0821,24.5,90.5,0.999999,63886.659168,4.5
cell_04_03,18.009353,18941.366,0.0821,24.5,91.5,1.0,80086.130712,4.5
cell_04_04,17.690668,18941.366,0.0821,24.5,92.5,1.0,78668.961568,4.5
cell_04_05,14.530382,18941.366,0.0821,24.5,93.5,1.0,64615.430119,4.5
cell_04_06,13.256221,18941.366,0.0821,24.5,94.5,0.999998,58949.337116,4.5
cell_04_07,10.59743,18941.366,0.0821,24.5,95.5,0.999975,47125.912221,4.5
cell_05_00,6.998884,18941.366,0.0821,25.5,88.5,0.999087,31123.467743,4.5
cell_05_01,14.508956,18941.366,0.0821,25.5,89.5,1.0,64520.14959,4.5
cell_05_02,20.74217,18941.366,0.0821,25.5,90.5,1.0,92238.745451,4.5
cell_05_03,19.567276,18941.366,0.0821,25.5,91.5,1.0,87014.087437,4.5
cell_05_04,16.840835,18941.366,0.0821,25.5,92.5,1.0,74889.824897,4.5
cell_05_05,14.088746,18941.366,0.0821,25.5,93.5,0.999999,62651.508168,4.5
cell_05_06,15.308923,18941.366,0.0821,25.5,94.5,1.0,68077.537014,4.5
cell_05_07,16.87815,18941.366,0.0821,25.5,95.5,1.0,75055.761332,4.5
cell_06_00,9.874866,18941.366,0.0821,26.5,88.5,0.999949,43912.724835,4.5
cell_06_01,14.050315,18941.366,0.0821,26.5,89.5,0.999999,62480.609509,4.5
cell_06_02,18.306176,18941.366,0.0821,26.5,90.5,1.0,81406.078861,4.5
cell_06_03,19.078792,18941.366,0.0821,26.5,91.5,1.0,84841.83737,4.5
cell_06_04,19.056035,18941.366,0.0821,26.5,92.5,1.0,84740.637275,4.5
cell_06_05,15.476881,18941.366,0.0821,26.5,93.5,1.0,68824.432266,4.5
cell_06_06,14.5151,18941.366,0.0821,26.5,94.5,1.0,64547.471469,4.5
cell_06_07,16.621789,18941.366,0.0821,26.5,95.5,1.0,73915.746865,4.5
cell_07_00,10.513911,18941.366,0.0821,27.5,88.5,0.999973,46754.508192,4.5
cell_07_01,9.767659,18941.366,0.0821,27.5,89.5,0.999943,43435.985029,4.5
cell_07_02,10.775941,18941.366,0.0821,27.5,90.5,0.999979,47919.734512,4.5
cell_07_03,14.451291,18941.366,0.0821,27.5,91.5,0.999999,64263.718201,4.5
cell_07_04,16.850893,18941.366,0.0821,27.5,92.5,1.0,74934.55376,4.5
cell_07_05,14.072416,18941.366,0.0821,27.5,93.5,0.999999,62578.892046,4.5
cell_07_06,11.103108,18941.366,0.0821,27.5,94.5,0.999985,49374.621231,4.5
cell_07_07,8.91357,18941.366,0.0821,27.5,95.5,0.999865,39637.921177,4.5
cell_00_00,0.225858,18941.366,0.0192,20.5,88.5,0.202169,4304.451498,5.0
cell_00_01,0.366224,18941.366,0.0192,20.5,89.5,0.306653,6979.587573,5.0
cell_00_02,0.333826,18941.366,0.0192,20.5,90.5,0.283821,6362.122165,5.0
cell_00_03,0.401553,18941.366,0.0192,20.5,91.5,0.33072,7652.887325,5.0
cell_00_04,0.575748,18941.366,0.0192,20.5,92.5,0.437716,10972.743317,5.0
cell_00_05,0.689479,18941.366,0.0192,20.5,93.5,0.498162,13140.237757,5.0
cell_00_06,0.711829,18941.366,0.0192,20.5,94.5,0.509254,13566.198397,5.0
cell_00_07,0.54845,18941.366,0.0192,20.5,95.5,0.422155,10452.483551,5.0
cell_01_00,0.318114,18941.366,0.0192,21.5,88.5,0.27248,6062.68168,5.0
cell_01_01,0.498328,18941.366,0.0192,21.5,89.5,0.392454,9497.250083,5.0
cell_01_02,0.462454,18941.366,0.0192,21.5,90.5,0.370264,8813.557651,5.0
cell_01_03,0.682159,18941.366,0.0192,21.5,91.5,0.494476,13000.742215,5.0
cell_01_04,1.155942,18941.366,0.0192,21.5,92.5,0.685239,22030.202621,5.0
cell_01_05,1.316455,18941.366,0.0192,21.5,93.5,0.731916,25089.287843,5.0
cell_01_06,1.184546,18941.366,0.0192,21.5,94.5,0.694115,22575.339225,5.0
cell_01_07,0.705773,18941.366,0.0192,21.5,95.5,0.506273,13450.780342,5.0
cell_02_00,0.392043,18941.366,0.0192,22.5,88.5,0.324325,7471.650362,5.0
cell_02_01,0.525713,18941.366,0.0192,22.5,89.5,0.408866,10019.148863,5.0
cell_02_02,0.638375,18941.366,0.0192,22.5,90.5,0.47185,12166.295234,5.0
cell_02_03,1.039395,18941.366,0.0192,22.5,91.5,0.646331,19809.020092,5.0
cell_02_04,1.510829,18941.366,0.0192,22.5,92.5,0.779273,28793.720829,5.0
cell_02_05,1.50881,18941.366,0.0192,22.5,93.5,0.778827,28755.239642,5.0
cell_02_06,1.321764,18941.366,0.0192,22.5,94.5,0.733336,25190.478281,5.0
cell_02_07,0.835663,18941.366,0.0192,22.5,95.5,0.566413,15926.246697,5.0
cell_03_00,0.461699,18941.366,0.0192,23.5,88.5,0.369788,8799.155123,5.0
cell_03_01,0.604274,18941.366,0.0192,23.5,89.5,0.453529,11516.391308,5.0
cell_03_02,0.882782,18941.366,0.0192,23.5,90.5,0.586369,16824.258607,5.0
cell_03_03,1.251687,18941.366,0.0192,23.5,91.5,0.713978,23854.934042,5.0
cell_03_04,1.366396,18941.366,0.0192,23.5,92.5,0.744976,26041.074572,5.0
cell_03_05,1.245092,18941.366,0.0192,23.5,93.5,0.712086,23729.24676,5.0
cell_03_06,1.163017,18941.366,0.0192,23.5,94.5,0.687458,22165.046125,5.0
cell_03_07,0.813723,18941.366,0.0192,23.5,95.5,0.556795,15508.11483,5.0
cell_04_00,0.431782,18941.366,0.0192,24.5,88.5,0.350649,8228.992088,5.0
cell_04_01,0.737938,18941.366,0.0192,24.5,89.5,0.521901,14063.785085,5.0
cell_04_02,1.120947,18941.366,0.0192,24.5,90.5,0.674029,21363.251408,5.0
cell_04_03,1.40518,18941.366,0.0192,24.5,91.5,0.754677,26780.241243,5.0
cell_04_04,1.380315,18941.366,0.0192,24.5,92.5,0.748501,26306.349806,5.0
cell_04_05,1.133734,18941.366,0.0192,24.5,93.5,0.678171,21606.94731,5.0
cell_04_06,1.034317,18941.366,0.0192,24.5,94.5,0.644531,19712.245491,5.0
cell_04_07,0.826865,18941.366,0.0192,24.5,95.5,0.562581,15758.57501,5.0
cell_05_00,0.546088,18941.366,0.0192,25.5,88.5,0.420789,10407.469646,5.0
cell_05_01,1.132062,18941.366,0.0192,25.5,89.5,0.677632,21575.086168,5.0
cell_05_02,1.618409,18941.366,0.0192,25.5,90.5,0.801786,30843.990503,5.0
cell_05_03,1.526737,18941.366,0.0192,25.5,91.5,0.782757,29096.901453,5.0
cell_05_04,1.314007,18941.366,0.0192,25.5,92.5,0.731259,25042.632969,5.0
cell_05_05,1.099275,18941.366,0.0192,25.5,93.5,0.666887,20950.225564,5.0
cell_05_06,1.194479,18941.366,0.0192,25.5,94.5,0.697138,22764.651609,5.0
cell_05_07,1.316918,18941.366,0.0192,25.5,95.5,0.73204,25098.120951,5.0
cell_06_00,0.770487,18941.366,0.0192,26.5,88.5,0.537212,14684.107651,5.0
cell_06_01,1.096276,18941.366,0.0192,26.5,89.5,0.665887,20893.078249,5.0
cell_06_02,1.42834,18941.366,0.0192,26.5,90.5,0.760293,27221.622659,5.0
cell_06_03,1.488623,18941.366,0.0192,26.5,91.5,0.774317,28370.516243,5.0
cell_06_04,1.486848,18941.366,0.0192,26.5,92.5,0.773916,28336.67564,5.0
cell_06_05,1.207584,18941.366,0.0192,26.5,93.5,0.701081,23014.408151,5.0
cell_06_06,1.132541,18941.366,0.0192,26.5,94.5,0.677787,21584.222413,5.0
cell_06_07,1.296916,18941.366,0.0192,26.5,95.5,0.726626,24716.908097,5.0
cell_07_00,0.820348,18941.366,0.0192,27.5,88.5,0.559722,15634.380103,5.0
cell_07_01,0.762122,18941.366,0.0192,27.5,89.5,0.533325,14524.689198,5.0
cell_07_02,0.840793,18941.366,0.0192,27.5,90.5,0.568632,16024.023624,5.0
cell_07_03,1.127562,18941.366,0.0192,27.5,91.5,0.676178,21489.337308,5.0
cell_07_04,1.314792,18941.366,0.0192,27.5,92.5,0.73147,25057.589988,5.0
cell_07_05,1.098001,18941.366,0.0192,27.5,93.5,0.666463,20925.943241,5.0
cell_07_06,0.86632,18941.366,0.0192,27.5,94.5,0.579504,16510.527554,5.0
cell_07_07,0.695482,18941.366,0.0192,27.5,95.5,0.501166,13254.643245,5.0
cell_00_00,0.967963,18941.366,0.0821,20.5,88.5,0.620144,4304.451498,5.0
cell_00_01,1.569533,18941.366,0.0821,20.5,89.5,0.791858,6979.587573,5.0
cell_00_02,1.430681,18941.366,0.0821,20.5,90.5,0.760854,6362.122165,5.0
cell_00_03,1.720942,18941.366,0.0821,20.5,91.5,0.821102,7652.887325,5.0
cell_00_04,2.467494,18941.366,0.0821,20.5,92.5,0.915203,10972.743317,5.0
cell_00_05,2.954908,18941.366,0.0821,20.5,93.5,0.947917,13140.237757,5.0
cell_00_06,3.050696,18941.366,0.0821,20.5,94.5,0.952674,13566.198397,5.0
cell_00_07,2.3505,18941.366,0.0821,20.5,95.5,0.904679,10452.483551,5.0
cell_01_00,1.363344,18941.366,0.0821,21.5,88.5,0.744196,6062.68168,5.0
cell_01_01,2.135692,18941.366,0.0821,21.5,89.5,0.881837,9497.250083,5.0
cell_01_02,1.981947,18941.366,0.0821,21.5,90.5,0.862199,8813.557651,5.0
cell_01_03,2.923539,18941.366,0.0821,21.5,91.5,0.946257,13000.742215,5.0
cell_01_04,4.954038,18941.366,0.0821,21.5,92.5,0.992945,22030.202621,5.0
cell_01_05,5.641949,18941.366,0.0821,21.5,93.5,0.996454,25089.287843,5.0
cell_01_06,5.076625,18941.366,0.0821,21.5,94.5,0.993759,22575.339225,5.0
cell_01_07,3.024742,18941.366,0.0821,21.5,95.5,0.95143,13450.780342,5.0
cell_02_00,1.680186,18941.366,0.0821,22.5,88.5,0.813661,7471.650362,5.0
cell_02_01,2.253054,18941.366,0.0821,22.5,89.5,0.894922,10019.148863,5.0
cell_02_02,2.735893,18941.366,0.0821,22.5,90.5,0.935164,12166.295234,5.0
cell_02_03,4.45455,18941.366,0.0821,22.5,91.5,0.988374,19809.020092,5.0
cell_02_04,6.474982,18941.366,0.0821,22.5,92.5,0.998458,28793.720829,5.0
cell_02_05,6.466329,18941.366,0.0821,22.5,93.5,0.998445,28755.239642,5.0
cell_02_06,5.664704,18941.366,0.0821,22.5,94.5,0.996534,25190.478281,5.0
