cell_id,expected_count,forecast_start_days,horizon_days,lat_center,lon_center,probability_at_least_one,rate_per_year,threshold
cell_00_00,0.675427,18941.366,0.0192,20.5,88.5,0.491061,12872.433156,4.5
cell_00_01,1.095192,18941.366,0.0192,20.5,89.5,0.665525,20872.409537,4.5
cell_00_02,0.998303,18941.366,0.0192,20.5,90.5,0.631496,19025.883401,4.5
cell_00_03,1.200842,18941.366,0.0192,20.5,91.5,0.699059,22885.907901,4.5
cell_00_04,1.721772,18941.366,0.0192,20.5,92.5,0.821251,32813.91484,4.5
cell_00_05,2.061881,18941.366,0.0192,20.5,93.5,0.872786,39295.792336,4.5
cell_00_06,2.12872,18941.366,0.0192,20.5,94.5,0.881011,40569.624757,4.5
cell_00_07,1.640136,18941.366,0.0192,20.5,95.5,0.806046,31258.081522,4.5
cell_01_00,0.951317,18941.366,0.0192,21.5,88.5,0.613768,18130.40865,4.5
cell_01_01,1.490247,18941.366,0.0192,21.5,89.5,0.774683,28401.462281,4.5
cell_01_02,1.382967,18941.366,0.0192,21.5,90.5,0.749167,26356.884679,4.5
cell_01_03,2.039992,18941.366,0.0192,21.5,91.5,0.86997,38878.631859,4.5
cell_01_04,3.456837,18941.366,0.0192,21.5,92.5,0.968471,65881.17227,4.5
cell_01_05,3.936849,18941.366,0.0192,21.5,93.5,0.98049,75029.345982,4.5
cell_01_06,3.542376,18941.366,0.0192,21.5,94.5,0.971056,67511.399605,4.5
cell_01_07,2.11061,18941.366,0.0192,21.5,95.5,0.878836,40224.467843,4.5
cell_02_00,1.172403,18941.366,0.0192,22.5,88.5,0.690378,22343.919985,4.5
cell_02_01,1.57214,18941.366,0.0192,22.5,89.5,0.7924,29962.197061,4.5
cell_02_02,1.909056,18941.366,0.0192,22.5,90.5,0.85178,36383.223793,4.5
cell_02_03,3.108303,18941.366,0.0192,22.5,91.5,0.955323,59238.740905,4.5
cell_02_04,4.518125,18941.366,0.0192,22.5,92.5,0.989091,86107.427828,4.5
cell_02_05,4.512086,18941.366,0.0192,22.5,93.5,0.989024,85992.350098,4.5
cell_02_06,3.952727,18941.366,0.0192,22.5,94.5,0.980798,75331.955304,4.5
cell_02_07,2.499044,18941.366,0.0192,22.5,95.5,0.917836,47627.333272,4.5
cell_03_00,1.380707,18941.366,0.0192,23.5,88.5,0.748599,26313.814014,4.5
cell_03_01,1.807078,18941.366,0.0192,23.5,89.5,0.835867,34439.69049,4.5
cell_03_02,2.639954,18941.366,0.0192,23.5,90.5,0.928635,50312.831827,4.5
cell_03_03,3.743162,18941.366,0.0192,23.5,91.5,0.976321,71338.01927,4.5
cell_03_04,4.086197,18941.366,0.0192,23.5,92.5,0.983197,77875.657773,4.5
cell_03_05,3.72344,18941.366,0.0192,23.5,93.5,0.975849,70962.152303,4.5
cell_03_06,3.477996,18941.366,0.0192,23.5,94.5,0.969131,66284.420859,4.5
cell_03_07,2.433433,18941.366,0.0192,23.5,95.5,0.912265,46376.912745,4.5
cell_04_00,1.29124,18941.366,0.0192,24.5,88.5,0.72507,24608.745307,4.5
cell_04_01,2.206798,18941.366,0.0192,24.5,89.5,0.889948,42057.654389,4.5
cell_04_02,3.352183,18941.366,0.0192,24.5,90.5,0.964992,63886.659168,4.5
cell_04_03,4.202182,18941.366,0.0192,24.5,91.5,0.985037,80086.130712,4.5
cell_04_04,4.127822,18941.366,0.0192,24.5,92.5,0.983882,78668.961568,4.5
cell_04_05,3.390423,18941.366,0.0192,24.5,93.5,0.966306,64615.430119,4.5
cell_04_06,3.093118,18941.366,0.0192,24.5,94.5,0.95464,58949.337116,4.5
cell_04_07,2.472734,18941.366,0.0192,24.5,95.5,0.915646,47125.912221,4.5
cell_05_00,1.633073,18941.366,0.0192,25.5,88.5,0.804672,31123.467743,4.5
cell_05_01,3.385423,18941.366,0.0192,25.5,89.5,0.966137,64520.14959,4.5
cell_05_02,4.83984,18941.366,0.0192,25.5,90.5,0.992092,92238.745451,4.5
cell_05_03,4.565698,18941.366,0.0192,25.5,91.5,0.989597,87014.087437,4.5
cell_05_04,3.929528,18941.366,0.0192,25.5,92.5,0.980347,74889.824897,4.5
cell_05_05,3.287374,18941.366,0.0192,25.5,93.5,0.962648,62651.508168,4.5
cell_05_06,3.572082,18941.366,0.0192,25.5,94.5,0.971903,68077.537014,4.5
cell_05_07,3.938235,18941.366,0.0192,25.5,95.5,0.980517,75055.761332,4.5
cell_06_00,2.304135,18941.366,0.0192,26.5,88.5,0.900155,43912.724835,4.5
cell_06_01,3.278407,18941.366,0.0192,26.5,89.5,0.962312,62480.609509,4.5
cell_06_02,4.271441,18941.366,0.0192,26.5,90.5,0.986038,81406.078861,4.5
cell_06_03,4.451718,18941.366,0.0192,26.5,91.5,0.988341,84841.83737,4.5
cell_06_04,4.446408,18941.366,0.0192,26.5,92.5,0.988279,84740.637275,4.5
cell_06_05,3.611272,18941.366,0.0192,26.5,93.5,0.972983,68824.432266,4.5
cell_06_06,3.386857,18941.366,0.0192,26.5,94.5,0.966185,64547.471469,4.5
cell_06_07,3.878418,18941.366,0.0192,26.5,95.5,0.979316,73915.746865,4.5
cell_07_00,2.453246,18941.366,0.0192,27.5,88.5,0.913986,46754.508192,4.5
cell_07_01,2.27912,18941.366,0.0192,27.5,89.5,0.897626,43435.985029,4.5
cell_07_02,2.514386,18941.366,0.0192,27.5,90.5,0.919087,47919.734512,4.5
cell_07_03,3.371968,18941.366,0.0192,27.5,91.5,0.965678,64263.718201,4.5
cell_07_04,3.931875,18941.366,0.0192,27.5,92.5,0.980393,74934.55376,4.5
cell_07_05,3.283564,18941.366,0.0192,27.5,93.5,0.962506,62578.892046,4.5
cell_07_06,2.590725,18941.366,0.0192,27.5,94.5,0.925034,49374.621231,4.5
cell_07_07,2.079833,18941.366,0.0192,27.5,95.5,0.875049,39637.921177,4.5
